sim_day;new;total
14;14;55
15;11;66
16;21;87
17;37;124
18;31;155
19;48;203
20;65;268
21;96;364
22;132;496
23;138;634
24;121;755
25;139;894
26;160;1054
27;193;1247
28;157;1404
29;141;1545
30;144;1689
31;137;1826
32;157;1983
33;149;2132
34;141;2273
35;149;2422
36;110;2532
37;134;2666
38;96;2762
39;191;2953
40;140;3093
41;130;3223
42;144;3367
43;136;3503
44;179;3682
45;134;3816
46;148;3964
47;138;4102
48;214;4316
49;161;4477
50;194;4671
51;207;4878
52;198;5076
53;208;5284
54;185;5469
55;182;5651
56;245;5896
57;224;6120
58;349;6469
59;228;6697
60;233;6930
61;287;7217
62;289;7506
63;325;7831
64;369;8200
65;364;8564
66;423;8987
67;355;9342
68;466;9808
69;688;10496
70;570;11066
71;515;11581
72;649;12230
73;764;12994
74;769;13763
75;668;14431
76;705;15136
77;727;15863
78;1020;16883
79;767;17650
80;877;18527
81;923;19450
82;910;20360
83;1075;21435
84;1044;22479
85;1120;23599
86;1262;24861
87;1222;26083
88;1514;27597
89;1252;28849
90;1370;30219
91;1159;31378
92;1168;32546
93;1437;33983
94;1324;35307
95;1355;36662
96;1527;38189
97;1513;39702
98;1515;41217
99;1280;42497
100;2470;44967
101;1784;46751
102;1956;48707
103;1775;50482
104;2373;52855
105;2228;55083
106;1771;56854
107;2631;59485
108;2488;61973
109;3150;65123
110;2517;67640
111;2898;70538
112;2550;73088
113;2356;75444
114;2969;78413
115;3673;82086
116;3586;85672
117;3866;89538
118;3987;93525
119;4543;98068
120;3042;101110
121;3516;104626
122;4639;109265
123;4168;113433
124;4911;118344
125;5092;123436
126;4600;128036
127;4314;132350
128;4195;136545
129;5889;142434
130;7553;149987
131;5815;155802
132;6199;162001
133;5991;167992
134;5735;173727
135;7168;180895
136;6628;187523
137;6996;194519
138;7334;201853
139;9006;210859
140;6710;217569
141;6524;224093
142;8572;232665
143;8303;240968
144;8294;249262
145;8738;258000
146;8188;266188
147;7347;273535
148;6695;280230
149;7985;288215
150;8233;296448
151;8916;305364
152;9447;314811
153;12600;327411
154;10194;337605
155;7731;345336
156;11062;356398
157;9307;365705
158;9370;375075
159;7889;382964
160;8855;391819
161;10050;401869
162;7694;409563
163;9367;418930
164;8766;427696
165;8730;436426
166;9036;445462
167;6894;452356
168;7913;460269
169;7041;467310
170;10085;477395
171;7757;485152
172;7889;493041
173;7122;500163
174;7460;507623
175;6898;514521
176;6397;520918
177;6734;527652
178;8041;535693
179;8356;544049
180;9524;553573
181;7694;561267
182;5765;567032
183;5182;572214
184;6507;578721
185;6600;585321
186;6978;592299
187;6749;599048
188;6212;605260
189;5422;610682
190;5186;615868
191;7217;623085
192;7321;630406
193;5804;636210
194;5765;641975
195;5801;647776
196;5545;653321
197;5071;658392
198;6913;665305
199;6501;671806
200;6374;678180
201;6581;684761
202;5647;690408
203;4889;695297
204;4188;699485
205;6191;705676
206;5789;711465
207;5325;716790
208;5633;722423
209;5709;728132
210;4708;732840
211;5052;737892
212;5322;743214
213;5871;749085
214;6479;755564
215;6632;762196
216;6943;769139
217;4700;773839
218;4675;778514
219;8035;786549
220;7462;794011
221;7765;801776
222;8662;810438
223;6477;816915
224;5833;822748
225;4737;827485
226;7163;834648
227;6132;840780
228;5576;846356
229;6395;852751
230;6206;858957
231;6407;865364
232;5634;870998
233;5808;876806
234;7016;883822
235;5792;889614
236;7071;896685